ID    ,Processed ,SKU   ,Name                                                                            ,Categories                                                                                                                                                                                                                                                                ,Images
18436 ,          ,      ,YOCAN EVOLVE 2020 | Champagne Gold                                              ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE 2020 - PEN KIT (510 THREAD)"                                                                                                                                  ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-2020-CHAMPAGNE_GOLD.png
18437 ,          ,      ,YOCAN EVOLVE 2020 | Silver                                                      ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE 2020 - PEN KIT (510 THREAD)"                                                                                                                                  ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-2020-SILVER.png
18438 ,          ,      ,YOCAN EVOLVE PLUS 2020 | Apple Green                                            ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS 2020 - WAX PEN KIT (510 THREAD)"                                                                                                                         ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plus-2020-AppleGreen.png
18439 ,          ,      ,YOCAN EVOLVE PLUS 2020 | Azure Green                                            ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS 2020 - WAX PEN KIT (510 THREAD)"                                                                                                                         ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plus-2020-AzureGreen.png
18440 ,          ,      ,YOCAN EVOLVE PLUS 2020 | Black                                                  ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS 2020 - WAX PEN KIT (510 THREAD)"                                                                                                                         ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plus-2020-black.png
18441 ,          ,      ,YOCAN EVOLVE PLUS 2020 | Champagne Gold                                         ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS 2020 - WAX PEN KIT (510 THREAD)"                                                                                                                         ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plus-2020-ChampagneGold.png
18442 ,          ,      ,YOCAN EVOLVE PLUS 2020 | Sakura Pink                                            ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS 2020 - WAX PEN KIT (510 THREAD)"                                                                                                                         ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plus-2020-sakurapink.png
18443 ,          ,      ,YOCAN EVOLVE  PLUS XL 2020 | Sakura Pink                                        ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS XL 2020 - WAX PEN KIT"                                                                                                                                   ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plusXL-2020-SakuraPink-e1651660145910.png
18444 ,          ,      ,YOCAN EVOLVE  PLUS XL 2020 | Sea Blue                                           ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS XL 2020 - WAX PEN KIT"                                                                                                                                   ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plusXL-2020-SeaBlue-e1651658419655.png
18445 ,          ,      ,YOCAN EVOLVE  PLUS XL 2020 | Silver                                             ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS XL 2020 - WAX PEN KIT"                                                                                                                                   ,https://dmordersystem.com/wp-content/uploads/2022/04/EVOLVE-plusXL-2020-silver.png
18446 ,          ,      ,YOCAN EVOLVE  PLUS XL 2020 | Light Blue                                         ,"Vapes &amp; Batteries > Batteries, Vapes &amp; Batteries, Vapes &amp; Batteries > Batteries > YOCAN EVOLVE PLUS XL 2020 - WAX PEN KIT"                                                                                                                                   ,https://dmordersystem.com/wp-content/uploads/2022/04/evolve-plus-XL-2020-LightBlue.png
